doctors_name,doctors_location,doctors_profession,doctors_rating,doctors_number,doctors_cost,specialty
Dr. Bhushan Bari,"Wanowrie,",Cardiologist,100%,912048556145.0,₹900,Cardiologist
Dr. Prashant Sadashiv Shinde,"Bhosari,",Cardiologist,100%,917949108205.0,₹1000,Cardiologist
Dr. Akshay Kashid,"Baner,",Cardiologist,100%,912048556927.0,₹1000,Cardiologist
Dr. Abhay Somani,"Wanowrie,",Cardiologist,92%,912048556145.0,₹1200,Cardiologist
Dr. Rajesh Kaushish,"Wanowrie,",Cardiologist,unavailable,912048556145.0,₹1200,Cardiologist
Dr. Sonam Shinde,"Bhosari,",Cardiologist,75%,917949108205.0,₹1000,Cardiologist
Dr. Yuvaraj Bhosale,"Pimple Saudagar,",Cardiologist,unavailable,912048553738.0,₹1200,Cardiologist
Dr. Sujit Sawadatkar,"Hadapsar,",Cardiologist,unavailable,912048556097.0,₹950,Cardiologist
Dr. Gaurav Ganeshwala,"Wanowrie,",Cardiologist,unavailable,912048556145.0,₹900,Cardiologist
Dr. Ashish S Khanijo,"Wanowrie,",Cardiologist,unavailable,912048556145.0,₹1200,Cardiologist
Dr. Dhananjay Zutshi,"Pimpri-Chinchwad,",Cardiologist,89%,912071173182.0,₹700,Cardiologist
Dr. Annapoorna A. Kalia,"Pimpri-Chinchwad,",Cardiologist,64%,912071177306.0,₹1000,Cardiologist
Dr. Priya Palimkar,"Nagar Road,",Cardiologist,94%,917969141502.0,₹1100,Cardiologist
Dr. Mangesh B Danej,"Baner,",Cardiologist,98%,912248977836.0,₹800,Cardiologist
Dr. Kanhaiya Jeswani,"Hadapsar,",Cardiologist,100%,912071173267.0,₹750,Cardiologist
Dr. Sachin Hundekari,"Wakad,",Cardiologist,88%,912048553065.0,₹1000,Cardiologist
Dr. Manohar Sakhare,"Kharadi,",Cardiologist,96%,917969141739.0,₹900,Cardiologist
Dr. Ashish Trivedi,"Chakan,",Cardiologist,96%,912071533850.0,₹750,Cardiologist
Dr. Rajesh Badani,"Pimpri-Chinchwad,",Cardiologist,unavailable,912248932701.0,₹1000,Cardiologist
Dr. Saleena Vaidya,"Shankar Shet Road,",Cardiologist,unavailable,912248932701.0,₹1000,Cardiologist
Dr. Mahesh Sampat Kharade,"Wakad,",Cardiologist,100%,917971261693.0,₹800,Cardiologist
Dr. Jagjeet Deshmukh,"Hadapsar,",Cardiologist,50%,917971261693.0,₹845,Cardiologist
Dr. Akash Motgi,"Kharadi,",Cardiologist,unavailable,912071187164.0,₹1000,Cardiologist
Dr. Hindaria Smruti Sunil,"Shankar Shet Road,",Cardiologist,unavailable,912071171359.0,₹1000,Cardiologist
Dr. Avinash Inamdar,"Aundh,",Cardiologist,99%,918037312919.0,₹1500,Cardiologist
Dr. Pramod Narkhede,"Kharadi,",Cardiologist,91%,918037298996.0,₹700,Cardiologist
Dr. More Hardik Satyawan,"Wanowrie,",Cardiologist,unavailable,912048552992.0,₹1000,Cardiologist
Dr. Vikrant khese,"Kharadi,",Cardiologist,86%,917971115168.0,₹1000,Cardiologist
Dr. Praveen Badrinarayan Pawal,"Baner,",Cardiologist,unavailable,914049174245.0,₹1000,Cardiologist
Dr. Amol Thorat Dinkar,"Kharadi,",Dentist,85%,918047162233.0,₹300,Dentists
Dr. Ganesh,"Aundh,",Dentist,98%,917969141788.0,₹200,Dentists
Dr. Rahul Kathariya,"Baner,",Dentist,96%,917969141639.0,₹400,Dentists
Dr. Rohit Jethale,"Kharadi,",Dentist,100%,912048556092.0,₹199,Dentists
Dr. Mandar Ketkar,"Koregaon Park,",Dentist,99%,917969141940.0,₹600,Dentists
Dr. Apoorva Sahu,"Hadapsar,",Dentist,100%,912048556168.0,₹300,Dentists
Dr. Syed Shibli Quazi,"Kharadi,",Dentist,98%,918047162233.0,₹300,Dentists
Dr. Abhinav Misuriya,"Hadapsar,",Dentist,97%,917969141641.0,₹400,Dentists
Dr. Irshad Chaudary,"Kharadi,",Dentist,94%,918047162233.0,₹300,Dentists
Dr. Hemant Patil,"Pimple Saudagar,",Dentist,93%,917971114606.0,₹500,Dentists
Dr. Pradeepti,"Wakad,",Dentist,98%,912271873701.0,₹300,Dentists
Dr. Disha Shah,"Kothrud,",Dentist,100%,912071177302.0,₹300,Dentists
Dr. Rohan R Nakhole,"Kothrud,",Dentist,98%,912071171359.0,₹300,Dentists
Dr. Supriya Patil,"Baner,",Dentist,98%,912071171335.0,₹500,Dentists
Dr. Preyas Gaikwad,"Dhanori,",Dentist,99%,917971262054.0,₹150,Dentists
Dr. Prashant Babar,"Kothrud,",Dentist,96%,912071179090.0,₹300,Dentists
Dr. Rahul R. Bagrecha,"Kharadi,",Dentist,98%,917971172161.0,₹500,Dentists
Dr. Rachita Domale,"Koregaon Park,",Dentist,100%,912071189378.0,₹300,Dentists
Dr. Gaurang Patil,"Baner,",Dentist,96%,912071173225.0,₹500,Dentists
Dr. Neha Chandan,"Viman Nagar,",Dentist,98%,912071534178.0,₹500,Dentists
Dr. Priti Munde,"Model Colony,",Dentist,97%,912048552992.0,₹500,Dentists
Dr. Swati Saraf,"Pashan,",Dentist,100%,912249398290.0,₹400,Dentists
Dr. Siddharth Swarup,"Magarpatta City,",Dentist,98%,912248903971.0,₹500,Dentists
Dr. Gargi Patil,"Moshi,",Dentist,98%,917971262903.0,₹200,Dentists
Dr. Priyanka Kawade,"Shivajinagar,",Dentist,99%,912071177422.0,₹300,Dentists
Dr. Amit Domale,"Koregaon Park,",Dentist,100%,912248977836.0,₹300,Dentists
Dr. Nishant Vyavahare,"Balewadi,",Dentist,100%,912071177420.0,₹700,Dentists
Dr. Aashish A Mathesul,"Kalyani Nagar,",Dentist,94%,912071189378.0,₹500,Dentists
Dr. Heena Sonawane Sharma,"Viman Nagar,",Dentist,100%,912048552983.0,₹300,Dentists
Dr. Prashant Gupta,"Kalyani Nagar,",Dentist,98%,912071173263.0,₹400,Dentists
Dr. Prithvi Asknani Bonde,"Kharadi,",Dentist,100%,918037321124.0,₹300,Dentists
Dr. Piyush Biyani,"Aundh,",Dentist,98%,912248902319.0,₹400,Dentists
Dr. Gaurav Mali,"Hinjewadi,",Dentist,100%,912071173190.0,₹400,Dentists
Dr. Nilima Borkar,"Pimpri-Chinchwad,",Dentist,100%,912048553252.0,₹300,Dentists
Dr. Prajakta Tingne,"Kharadi,",Dentist,98%,912071177436.0,₹300,Dentists
Dr. Shital Kawale Dharmadhikari,"Kharadi,",Dentist,96%,914049174245.0,₹300,Dentists
Dr. Sujata Pingale,"Chikhali,",Dentist,83%,912071177426.0,₹200,Dentists
Dr. Shailendra Supekar,"Kharadi,",Dentist,99%,918037320367.0,₹500,Dentists
Dr. Sudiksha Jaiswal,"Viman Nagar,",Dentist,97%,912071177319.0,₹500,Dentists
Dr. Nimisha N. Barve,"Kothrud,",Dentist,100%,912071533932.0,₹300,Dentists
Dr. Ananth Kamath,"Aundh,",Dentist,100%,912071177303.0,₹500,Dentists
Dr. Meena Juyal,"Hadapsar,",Dentist,100%,912048553253.0,₹500,Dentists
Dr. Aditya Jadhav,"Kothrud,",Dentist,100%,912071177324.0,₹300,Dentists
Dr. Minal Niswade,"Aundh,",Dentist,96%,912248902319.0,₹400,Dentists
Dr. Kunal Advani,"Prabhat Road,",Dentist,100%,912071179090.0,₹400,Dentists
Dr. Nidhi Deven Sheth,"Vadgaon Budruk,",Dentist,96%,912048552972.0,₹200,Dentists
Dr. Rhea Kashid,"Baner,",Dentist,92%,912071177422.0,₹1000,Dentists
Dr. Patil Aashish Dilip,"Kharadi,",Dentist,100%,912071177303.0,₹300,Dentists
Dr. Priyam Aditya,"Baner,",Dentist,99%,912071177422.0,₹800,Dentists
Dr. Onkar Anantrao,"Aundh,",Dentist,98%,912248968621.0,₹1200,Dentists
Dr. Jyothi Vinayan,"Prabhat Road,",Dentist,100%,911142246455.0,₹200,Dentists
Dr. Keshal Ruparel,"Kharadi,",Dentist,100%,912071185854.0,₹300,Dentists
Dr. Vanessa Lobo,"Kharadi,",Dentist,100%,912071177426.0,₹500,Dentists
Dr. Dhaval Oswal,"Bibvewadi,",Dentist,97%,912071533850.0,₹100,Dentists
Dr. Nimay Devjee,"Yerwada,",Dentist,100%,912249398293.0,₹300,Dentists
Dr. Saina Elahi,"Shivajinagar,",Dentist,100%,912048554750.0,₹500,Dentists
Dr. Swathi Pissay Martande,"Pimple Nilakh,",Dentist,100%,912071179090.0,₹300,Dentists
Dr. Disha Bansal,"Koregaon Park,",Dentist,100%,912248968623.0,₹400,Dentists
Dr. Seema Rathod,"Balewadi,",Dentist,98%,912048553256.0,₹500,Dentists
Dr. Rachna Darak,"Wakad,",Dentist,100%,912071177426.0,₹300,Dentists
Dr. Nikita Nishan,"Baner Road,",Dentist,100%,912071177321.0,₹300,Dentists
Dr. Sanjay Talele,"Kothrud,",Dentist,100%,912071177437.0,₹300,Dentists
Dr. Bhawana Dubey,"Wakad,",Dentist,100%,912071173265.0,₹500,Dentists
Dr. Siddhi Thuse,"Balewadi,",Dentist,97%,912248933641.0,₹300,Dentists
Dr. Priyanka Singh,"Kharadi,",Dentist,100%,912071533824.0,₹300,Dentists
Dr. Sharwari Pawale,"Kharadi,",Dentist,100%,912071173264.0,₹300,Dentists
Dr. Samhita Advani,"Prabhat Road,",Dentist,100%,912071179090.0,₹400,Dentists
Dr. Shital Kupkar,"Hadapsar,",Dentist,100%,912071173173.0,₹300,Dentists
Dr. Sunita Gallani,"Aundh,",Dentist,96%,912071189376.0,₹500,Dentists
Dr. Divya Kharat,"Shivajinagar,",Dentist,unavailable,912071188518.0,₹500,Dentists
Dr. Vishakha Lal,"Sasanenagar,",Dentist,100%,912048566751.0,₹300,Dentists
Dr. Anamika Gupta,"Pimple Saudagar,",Dentist,94%,912248977837.0,₹500,Dentists
Dr. Simmy Joseph,"Koregaon Park,",Dentist,100%,912048553255.0,₹500,Dentists
Dr. Amol J. Pharande,"Aundh,",Dentist,96%,912271873696.0,₹500,Dentists
Dr. Kirti Takke,"Parvati Gaon,",Dentist,100%,912048553066.0,₹400,Dentists
Dr. Revathi,"Wakad,",Dentist,100%,912048552978.0,₹400,Dentists
Dr. Santosh Martande,"Pimple Nilakh,",Dentist,100%,912071179090.0,₹300,Dentists
Dr. Ashish Gupta,"Aundh,",Dentist,98%,912249398293.0,₹500,Dentists
Dr. Mukund E Kothavade,"Parvati Paytha,",Dentist,unavailable,912071177420.0,₹500,Dentists
Dr. Athira,"Aundh,",Dentist,99%,912071173189.0,₹200,Dentists
Dr. Nandita Bhati,"Hinjewadi,",Dentist,99%,917969141981.0,₹500,Dentists
Dr. Puja Bansal,"Viman Nagar,",Dentist,98%,917969141683.0,₹500,Dentists
Dr. Amit Chaudhari,"Bibvewadi,",Dentist,99%,912071177320.0,₹500,Dentists
Dr. Gauri Srinidhi,"Karve Nagar,",Dentist,98%,912048553254.0,₹500,Dentists
Dr. Ritesh Kumar Singh,"Pimple Saudagar,",Dentist,99%,917971262181.0,₹400,Dentists
Dr. Kalpak Patil,"Hadapsar,",Dentist,99%,912271873697.0,₹300,Dentists
Dr. Pallavi Deshpande Umrajkar,"Pashan,",Dentist,94%,912071185853.0,₹300,Dentists
Dr. Samiksha Jarde,"Pimple Saudagar,",Dentist,96%,918037298998.0,₹500,Dentists
Dr. Shilpika Gupta,"Pimple Saudagar,",Dentist,unavailable,912071172687.0,₹300,Dentists
Dr. Vrushalee Oke,"Kalyani Nagar,",Dentist,100%,912071173225.0,₹400,Dentists
Dr. Yashyashwini Jain,"Aundh,",Dentist,100%,917971171699.0,₹600,Dentists
Dr. Archana Singhal,"Law College Road,",Dentist,unavailable,912048553255.0,₹400,Dentists
Dr. Manju Patel,"Wakad,",Dentist,99%,912071177308.0,₹400,Dentists
Dr. Varad Prashant Pathak,"Ravet,",Dentist,100%,917971262030.0,₹200,Dentists
Dr. Shraddha Angal,"Senapati Bapat Marg,",Dentist,99%,912048553586.0,₹300,Dentists
Dr. Snigdha Chandorkar,"FC Road,",Dentist,99%,912071177308.0,₹500,Dentists
