name,specialty,location,consultation_fee,rating_score
Dr. Sandeep Bhirud,Dentist,Pimpri-Chinchwad,500.0,0.98
Dr. Jyoti Bhirud,Dentist,Pimpri-Chinchwad,500.0,0.98
Dr. Ganesh,Dentist,Aundh,200.0,0.98
Dr. Rahul Kathariya,Dentist,Baner,400.0,0.96
Dr. Rohit Jethale,Dentist,Kharadi,199.0,1.0
Dr. Mandar Ketkar,Dentist,Koregaon Park,600.0,0.99
Dr. Syed Shibli Quazi,Dentist,Kharadi,300.0,0.98
Dr. Abhinav Misuriya,Dentist,Hadapsar,400.0,0.97
Dr. Irshad Chaudary,Dentist,Kharadi,300.0,0.94
Dr. Hemant Patil,Dentist,Pimple Saudagar,500.0,0.93
Dr. Kaustubh Patil,Dentist,FC Road,500.0,0.99
Dr. Umang Shah,Dentist,NIBM,500.0,0.99
Dr. Vivek Singh Chauhan,Dentist,Baner Road,700.0,0.97
Dr. Sachin Phadke,Dentist,Paud Road,300.0,0.99
Dr. Mamta,Dentist,Kharadi,199.0,0.92
Dr. Gautami Phadke,Dentist,Karve Nagar,300.0,0.98
Dr. Komal Prakash Kamble,Dentist,Baner Pashan Link Road,400.0,0.98
Dr. Neha A Agrawal,Dentist,Wakad,400.0,0.98
Dr. Amol Thorat Dinkar,Dentist,Kharadi,300.0,0.85
Dr. Abhay Bhosale,Dentist,Kharadi,200.0,1.0
Dr. Rishikesh Parekh,Dentist,Kharadi,200.0,0.67
Dr. Ankush R. Agrawal,Dentist,Wakad,400.0,0.97
Dr. Pritam Dhoka,Dentist,Swargate,500.0,0.98
Dr. Shubhra Misuriya,Dentist,Hadapsar,400.0,0.99
Dr. Rashmi Singh Chauhan,Dentist,Baner Road,700.0,0.93
Dr. Prashant Bhangale,Dentist,Kothrud,300.0,0.99
Dr. Varsha Chopra,Dentist,Wakad,400.0,1.0
Dr. Priyanka Bansal,Dentist,Wakad,400.0,0.99
Dr. Dragpal Singh Rajput,Dentist,Baner,100.0,0.94
Dr. Abhijit Deshpande,Dentist,Wakad,300.0,0.91
Dr. Chandrakiran Rajput,Dentist,Baner,300.0,0.97
Dr. Milind Darda,Dentist,Shivajinagar,500.0,0.97
Dr. Dongre Shailesh Babarao,Dentist,Viman Nagar,300.0,1.0
Dr. Chitrang Kolawale,Dentist,Viman Nagar,300.0,1.0
Dr. Ashwini Dalavi,Dentist,Sasanenagar,500.0,0.98
Dr. Surbhi Bhatia L,Dentist,Viman Nagar,300.0,0.97
Dr. Saif Sayed,Dentist,Kalyani Nagar,300.0,1.0
Dr. Anupriya Pathak,Dentist,Kharadi,300.0,1.0
Dr. Prannoy Kunde,Dentist,Viman Nagar,300.0,0.98
Dr. Pranil Survashe,Dentist,Kharadi,300.0,1.0
Dr. Achyut Chinnawar,Dentist,Wakad,300.0,1.0
Dr. Sumanth. S,Dentist,Viman Nagar,600.0,1.0
Dr. Nootan Shukla,Dentist,Viman Nagar,300.0,0.97
Dr. Tushar Nair,Dentist,Wakad,200.0,1.0
Dr. Harshavardhan S Sawant,Dentist,Mohamadwadi,350.0,0.99
Dr. Samidhaa Patil,Dentist,Kharadi,300.0,1.0
Dr. Venessa Liberatus,Dentist,Koregaon Park,500.0,0.99
Dr. Sameer Makarand Phatak,Dentist,Viman Nagar,300.0,1.0
